FID,Name,Address,City,State,ZipCode1,ZipCode2,Suite,geom
Food_Establishments_Health.1,HEARTLANDS SENIOR LIVING VILLAGE AT ELLICOTT CITY,3004 NORTH RIDGE RD,Ellicott City,MD,21043,,,POINT (1362723.3499524489 591614.0426752372)
Food_Establishments_Health.2,SUBWAY,9275 BALTIMORE NATIONAL  PK,Ellicott City,MD,21042,,,POINT (1360053.668551099 586474.8620780325)
Food_Establishments_Health.3,BOTTOM OF THE BAY SEAFOOD,9590 NORTH LAUREL RD,LAUREL,MD,20707,,,POINT (1357916.9283722725 524676.5080606884)
Food_Establishments_Health.4,COLUMBIA LANES,7100 CARVED STONE RD,COLUMBIA,MD,21046,,,POINT (1357512.7593287225 549796.7408738931)
Food_Establishments_Health.5,CIRCLE D FARM,15535 CARRS MILL RD,WOODBINE,MD,21797,,,POINT (1298248.29059672 598681.00132448)
Food_Establishments_Health.6,COLUMBIA ICE RINK,5876 THUNDERHILL RD,COLUMBIA,MD,21045,,,POINT (1356531.4567921378 562221.207496509)
Food_Establishments_Health.7,DANIELS RESTAURANT,5854 WASHINGTON BLVD,ELKRIDGE,MD,21075,,,POINT (1393894.9971852666 564280.3917039083)
Food_Establishments_Health.8,MORGAN INN,15400 FREDERICK RD,WOODBINE,MD,21797,,,POINT (1298267.0210954798 606455.9142940325)
Food_Establishments_Health.9,TOBY'S DINNER THEATRE,5900 SYMPHONY WOODS RD,COLUMBIA,MD,21044,,,POINT (1352425.087603107 561714.8987019096)
Food_Establishments_Health.10,HUNAN MANOR RESTAURANT,7091 DEEPAGE DR,COLUMBIA,MD,21045,,,POINT (1357712.063542088 550255.3454294638)
Food_Establishments_Health.11,HAMMOND PARK RECREATION INC,8034 HELMART DR,LAUREL,MD,20723,,,POINT (1345815.2701892194 539612.9101654117)
Food_Establishments_Health.12,SHANNON'S SALOON,9338 BALTIMORE NATIONAL PK,ELLICOTT CITY,MD,21042,,,POINT (1359464.2431682535 586911.516830369)
Food_Establishments_Health.13,THE JOHNS HOPKINS UNIVERSITY APPLIED PHYSICS LAB. LLC ( CAFETERIA 1 ),11100 JOHNS HOPKINS RD,LAUREL,MD,20723,,,POINT (1341138.791444189 545444.8265526838)
Food_Establishments_Health.14,KAHLER HALL,5440  OLD TUCKER ROW,COLUMBIA,MD,21044,,,POINT (1343975.5840141606 566559.9519357778)
Food_Establishments_Health.15,THE JOHNS HOPKINS UNIVERSITY APPLIED PHYSICS LAB LLC ( APL KOSSIKOFF ),11100 JOHNS HOPKINS RD,LAUREL,MD,20723,,,POINT (1341138.791444189 545444.8265526838)
Food_Establishments_Health.16,THE KINGS CONTRIVANCE RESTAURANT,10150 SHAKER DR,COLUMBIA,MD,21046,,,POINT (1350867.82222966 551438.2934917588)
